cover_idx,"album_cover","album","description"
979,"GratefulDead_The Best Of Grateful Dead Fare Thee Well.jpg","The Best Of Fare Thee Well - Celebrating 50 Years Of Grateful Dead_ Soldier Field, Chicago, Illinois 7_3-5_15","No description"
980,"Grateful_Dead_What_a_Long_Strange_Trip_Its_Been.jpg","What A Long Strange Trip","No description"
981,"Aoxomoxoa.jpg","Aoxomoxoa","No description"
982,"GratefulDead_Two from the Vault.jpg","Two from the Vault Disc 1","No description"
983,"GratefulDead_Two from the Vault.jpg","Two from the Vault Disc 2","No description"
985,"Grateful_Dead_WorkmansDead.jpg","Workingman's Dead","No description"
986,"The Grateful Dead (Skull & Roses).jpg","The Grateful Dead (Skull & Roses)","No description"
987,"GratefulDead_Wake Of The Flood [Expanded].jpg","Wake Of The Flood [Expanded]","No description"
988,"GratefulDead_In The Dark.jpg","In The Dark","No description"
989,"GratefulDead_Go To Heaven.jpg","Go To Heaven","No description"
990,"Grateful_Dead_-_American_Beauty.jpg","American Beauty","No description"
991,"DoobieBrothers_Cycles.jpg","Cycles","No description"
992,"Farewell Tour (Live) [Remastered].jpg","Farewell Tour (Live) [Remastered]","No description"
993,"DoobieBrothers_Best Of The Doobies.jpg","Best Of Doobies","No description"
994,"DoobieBrothers_World_Gone_Crazy.jpg","World Gone Crazy","No description"
995,"DoobieBrothers_Stampede.jpg","Stampede","No description"
996,"DoobieBrothers_The Captain And Me.jpg","The Captain And Me","No description"
997,"DoobieBrothers_One Step Closer.jpg","One Step Closer","No description"
998,"DoobieBrothers_Takin_It_To_Streets.jpg","Takin' It To The Streets","No description"
999,"DoobieBrothers_Toulouse Street.jpg","Toulouse Street","No description"
1000,"DoobieBrothers_What_Were_Once_Vices_Are_Now_Habits.jpg","What Were Vices Are Now Habits","No description"
1001,"Clapton_I_Still_Do.jpg","I Still Do","No description"
1002,"Complete Clapton [Disc 2]","EricClapton_The_Complete.jpg","No description"
1003,"Complete Clapton [Disc 1]","EricClapton_The_Complete.jpg","No description"
1004,"EricClapton_The_Complete.jpg","Complete Clapton [Disc 1]","No description"
1005,"EricClapton_The_Complete.jpg","Complete Clapton [Disc 2]","No description"
1006,"EricClapton_461 Ocean Boulevard.jpg","461 Ocean Boulevard","No description"
1007,"Eric_Clapton_Unplugged.jpg","Unplugged","No description"
1008,"EricClapton_Backless.jpg","Backless","No description"
1009,"EricClapton_Behind The Sun.jpg","Behind The Sun","No description"
